,date,PHE actual hospitalizations per day,21st June,28th June,5th July,12th July,19th July,23rd August
0,15-Dec-20,1730.0,,,,,,
1,16-Dec-20,1796.0,,,,,,
2,17-Dec-20,1873.0,,,,,,
3,18-Dec-20,1672.0,,,,,,
4,19-Dec-20,1812.0,,,,,,
5,20-Dec-20,1976.0,,,,,,
6,21-Dec-20,2115.0,,,,,,
7,22-Dec-20,2203.0,,,,,,
8,23-Dec-20,1980.0,,,,,,
9,24-Dec-20,1795.0,,,,,,
10,25-Dec-20,1952.0,,,,,,
11,26-Dec-20,2298.0,,,,,,
12,27-Dec-20,2572.0,,,,,,
13,28-Dec-20,2795.0,,,,,,
14,29-Dec-20,2886.0,,,,,,
15,30-Dec-20,2861.0,,,,,,
16,31-Dec-20,2536.0,,,,,,
17,01-Jan-21,3010.0,,,,,,
18,02-Jan-21,3145.0,,,,,,
19,03-Jan-21,3351.0,,,,,,
20,04-Jan-21,3587.0,,,,,,
21,05-Jan-21,3697.0,,,,,,
22,06-Jan-21,3967.0,,,,,,
23,07-Jan-21,3849.0,,,,,,
24,08-Jan-21,3549.0,,,,,,
25,09-Jan-21,3718.0,,,,,,
26,10-Jan-21,3571.0,,,,,,
27,11-Jan-21,3894.0,,,,,,
28,12-Jan-21,4134.0,,,,,,
29,13-Jan-21,3840.0,,,,,,
30,14-Jan-21,3678.0,,,,,,
31,15-Jan-21,3295.0,,,,,,
32,16-Jan-21,3569.0,,,,,,
33,17-Jan-21,3424.0,,,,,,
34,18-Jan-21,3711.0,,,,,,
35,19-Jan-21,3768.0,,,,,,
36,20-Jan-21,3679.0,,,,,,
37,21-Jan-21,3237.0,,,,,,
38,22-Jan-21,3016.0,,,,,,
39,23-Jan-21,2780.0,,,,,,
40,24-Jan-21,2824.0,,,,,,
41,25-Jan-21,2648.0,,,,,,
42,26-Jan-21,2799.0,,,,,,
43,27-Jan-21,2742.0,,,,,,
44,28-Jan-21,2719.0,,,,,,
45,29-Jan-21,2379.0,,,,,,
46,30-Jan-21,2193.0,,,,,,
47,31-Jan-21,2183.0,,,,,,
48,01-Feb-21,2347.0,,,,,,
49,02-Feb-21,2222.0,,,,,,
50,03-Feb-21,2096.0,,,,,,
51,04-Feb-21,1907.0,,,,,,
52,05-Feb-21,1757.0,,,,,,
53,06-Feb-21,1679.0,,,,,,
54,07-Feb-21,1675.0,,,,,,
55,08-Feb-21,1739.0,,,,,,
56,09-Feb-21,1531.0,,,,,,
57,10-Feb-21,1535.0,,,,,,
58,11-Feb-21,1440.0,,,,,,
59,12-Feb-21,1318.0,,,,,,
60,13-Feb-21,1240.0,,,,,,
61,14-Feb-21,1364.0,,,,,,
62,15-Feb-21,1322.0,,,,,,
63,16-Feb-21,1311.0,,,,,,
64,17-Feb-21,1233.0,,,,,,
65,18-Feb-21,1149.0,,,,,,
66,19-Feb-21,1068.0,,,,,,
67,20-Feb-21,904.0,,,,,,
68,21-Feb-21,1009.0,,,,,,
69,22-Feb-21,980.0,,,,,,
70,23-Feb-21,976.0,,,,,,
71,24-Feb-21,874.0,,,,,,
72,25-Feb-21,832.0,,,,,,
73,26-Feb-21,718.0,,,,,,
74,27-Feb-21,624.0,,,,,,
75,28-Feb-21,662.0,,,,,,
76,01-Mar-21,704.0,,,,,,
77,02-Mar-21,683.0,,,,,,
78,03-Mar-21,607.0,,,,,,
79,04-Mar-21,596.0,,,,,,
80,05-Mar-21,487.0,,,,,,
81,06-Mar-21,528.0,,,,,,
82,07-Mar-21,461.0,,,,,,
83,08-Mar-21,501.0,,,,,,
84,09-Mar-21,483.0,,,,,,
85,10-Mar-21,494.0,,,,,,
86,11-Mar-21,449.0,,,,,,
87,12-Mar-21,386.0,,,,,,
88,13-Mar-21,385.0,,,,,,
89,14-Mar-21,357.0,,,,,,
90,15-Mar-21,431.0,,,,,,
91,16-Mar-21,364.0,,,,,,
92,17-Mar-21,343.0,,,,,,
93,18-Mar-21,351.0,,,,,,
94,19-Mar-21,283.0,,,,,,
95,20-Mar-21,287.0,,,,,,
96,21-Mar-21,279.0,,,,,,
97,22-Mar-21,294.0,,,,,,
98,23-Mar-21,295.0,,,,,,
99,24-Mar-21,277.0,,,,,,
